geoid,name,Total,No Earners,1 Earner,2 Earners,3 Earners
05000US17001,"Adams County, IL",17646,2880,5187,7830,1749
05000US17003,"Alexander County, IL",1487,436,639,341,71
05000US17005,"Bond County, IL",4114,808,1093,1846,367
05000US17007,"Boone County, IL",13937,1625,4463,5595,2254
05000US17009,"Brown County, IL",1286,210,360,659,57
05000US17011,"Bureau County, IL",9490,1581,2912,3981,1016
05000US17013,"Calhoun County, IL",1212,294,379,423,116
05000US17015,"Carroll County, IL",4097,790,1274,1687,346
05000US17017,"Cass County, IL",3386,447,1093,1441,405
05000US17019,"Champaign County, IL",42535,4989,13693,20377,3476
05000US17021,"Christian County, IL",8909,1613,2641,3875,780
05000US17023,"Clark County, IL",4719,767,1411,2077,464
05000US17025,"Clay County, IL",3704,729,1287,1424,264
05000US17027,"Clinton County, IL",9418,1249,2821,4014,1334
05000US17029,"Coles County, IL",12253,1866,4478,5077,832
05000US17031,"Cook County, IL",1183806,149352,395632,486730,152092
05000US17033,"Crawford County, IL",5086,829,1551,2095,611
05000US17035,"Cumberland County, IL",2934,507,796,1344,287
05000US17039,"De Witt County, IL",4398,664,1335,1814,585
05000US17037,"DeKalb County, IL",22925,2918,7089,10203,2715
05000US17041,"Douglas County, IL",5066,711,1643,2172,540
05000US17043,"DuPage County, IL",239066,23828,67053,111111,37074
05000US17045,"Edgar County, IL",5185,912,1769,2064,440
05000US17047,"Edwards County, IL",1871,238,609,838,186
05000US17049,"Effingham County, IL",9009,1184,2675,3838,1312
05000US17051,"Fayette County, IL",5264,1149,1682,1913,520
05000US17053,"Ford County, IL",3627,455,1163,1549,460
05000US17055,"Franklin County, IL",10002,2414,3477,3373,738
05000US17057,"Fulton County, IL",8939,1885,3062,3363,629
05000US17059,"Gallatin County, IL",1578,283,646,591,58
05000US17061,"Greene County, IL",3322,589,1127,1307,299
05000US17063,"Grundy County, IL",13923,1821,4210,5897,1995
05000US17065,"Hamilton County, IL",2373,402,677,1072,222
05000US17067,"Hancock County, IL",5064,1067,1557,2119,321
05000US17069,"Hardin County, IL",907,265,271,287,84
05000US17071,"Henderson County, IL",2002,365,620,832,185
05000US17073,"Henry County, IL",13635,2539,3987,5639,1470
05000US17075,"Iroquois County, IL",7936,1169,2407,3445,915
05000US17077,"Jackson County, IL",12477,2313,4766,4448,950
05000US17079,"Jasper County, IL",2458,479,689,987,303
05000US17081,"Jefferson County, IL",9816,1800,3527,3579,910
05000US17083,"Jersey County, IL",5921,974,1531,2790,626
05000US17085,"Jo Daviess County, IL",6223,1193,1695,2660,675
05000US17087,"Johnson County, IL",3058,816,981,1124,137
05000US17089,"Kane County, IL",131854,14065,37206,58408,22175
05000US17091,"Kankakee County, IL",26471,4270,8831,10364,3006
05000US17093,"Kendall County, IL",31947,2475,9394,14811,5267
05000US17095,"Knox County, IL",11860,2283,4279,4569,729
05000US17097,"Lake County, IL",179569,17484,54105,80531,27449
05000US17099,"LaSalle County, IL",29552,4735,9931,11331,3555
05000US17101,"Lawrence County, IL",4114,684,1578,1468,384
05000US17103,"Lee County, IL",8491,1380,2441,3748,922
05000US17105,"Livingston County, IL",9483,1326,3358,3818,981
05000US17107,"Logan County, IL",6821,1100,2078,2947,696
05000US17115,"Macon County, IL",26739,4960,8742,10752,2285
05000US17117,"Macoupin County, IL",12711,2312,4150,5058,1191
05000US17119,"Madison County, IL",69285,11161,21582,28622,7920
05000US17121,"Marion County, IL",10170,1872,3418,3856,1024
05000US17123,"Marshall County, IL",3112,592,995,1165,360
05000US17125,"Mason County, IL",3823,709,1364,1391,359
05000US17127,"Massac County, IL",3892,998,1212,1398,284
05000US17109,"McDonough County, IL",6120,1135,1886,2662,437
05000US17111,"McHenry County, IL",83541,8814,21928,39747,13052
05000US17113,"McLean County, IL",40460,5270,11968,19107,4115
05000US17129,"Menard County, IL",3661,586,1063,1617,395
05000US17131,"Mercer County, IL",4499,840,1336,1792,531
05000US17133,"Monroe County, IL",10037,1452,2352,5057,1176
05000US17135,"Montgomery County, IL",7370,1453,2329,3018,570
05000US17137,"Morgan County, IL",8556,1315,2967,3612,662
05000US17139,"Moultrie County, IL",3950,490,1274,1796,390
05000US17141,"Ogle County, IL",14335,2054,4357,6087,1837
05000US17143,"Peoria County, IL",44659,7798,16135,16631,4095
05000US17145,"Perry County, IL",5420,1105,1846,2005,464
05000US17147,"Piatt County, IL",4775,602,1265,2306,602
05000US17149,"Pike County, IL",4232,815,1339,1799,279
05000US17151,"Pope County, IL",1033,378,324,292,39
05000US17153,"Pulaski County, IL",1317,414,444,393,66
05000US17155,"Putnam County, IL",1651,277,505,672,197
05000US17157,"Randolph County, IL",7734,1384,2653,3070,627
05000US17159,"Richland County, IL",4025,698,1340,1559,428
05000US17161,"Rock Island County, IL",37533,5914,12646,15348,3625
05000US17165,"Saline County, IL",6668,1507,2439,2269,453
05000US17167,"Sangamon County, IL",50630,8312,16268,21773,4277
05000US17169,"Schuyler County, IL",1737,384,496,750,107
05000US17171,"Scott County, IL",1354,249,383,539,183
05000US17173,"Shelby County, IL",6282,1239,1887,2664,492
05000US17163,"St. Clair County, IL",65340,10833,21850,26271,6386
05000US17175,"Stark County, IL",1485,280,484,570,151
05000US17177,"Stephenson County, IL",12749,1975,4430,5174,1170
05000US17179,"Tazewell County, IL",36888,6315,11050,15780,3743
05000US17181,"Union County, IL",4679,1063,1601,1669,346
05000US17183,"Vermilion County, IL",19598,4027,7169,7005,1397
05000US17185,"Wabash County, IL",3279,481,931,1541,326
05000US17187,"Warren County, IL",4508,616,1583,1797,512
05000US17189,"Washington County, IL",4038,603,1122,1912,401
05000US17191,"Wayne County, IL",4522,927,1521,1653,421
05000US17193,"White County, IL",3913,647,1451,1577,238
05000US17195,"Whiteside County, IL",15278,2676,4854,6187,1561
05000US17197,"Will County, IL",171789,18064,47725,76259,29741
05000US17199,"Williamson County, IL",17327,3373,5709,7170,1075
05000US17201,"Winnebago County, IL",73716,11044,25587,29073,8012
05000US17203,"Woodford County, IL",10687,1565,3206,4742,1174
